"cellsource"	"rightfoot"	"travel"	"getlunch"	"height"	"gender"	"age"	"year"	"armspan"	"cellcost"
"pocket"	23	"motor"	"home"	153	"female"	12	8	153	15
"parent"	22	"bus"	"home"	159	"female"	14	10	157	20
"pocket"	21	"walk"	"home"	162	"female"	14	10	156	20
"parent"	24	"walk"	"home"	167	"female"	15	10	166	10
"pocket"	25	"walk"	"tuckshop"	169	"male"	14	10	168	20
"parent"	40	"bus"	"dairy"	160	"female"	14	10	160	20
"pocket"	26	"bus"	"home"	163	"female"	12	7	165	20
"pocket"	24	"train"	"friend"	164	"female"	13	9	164	20
"parent"	23	"motor"	"home"	155	"male"	13	8	150	0
"parent"	26	"walk"	"home"	163	"female"	12	8	163	20
"job"	24	"motor"	"home"	152	"male"	14	9	159	40
"other"	27	"motor"	"home"	179	"male"	15	11	187	200
"parent"	23	"motor"	"tuckshop"	156	"female"	14	10	155	20
"pocket"	25	"walk"	"dairy"	150	"male"	9	5	80	200
"job"	24	"motor"	"dairy"	163	"female"	18	13	167	20
"other"	27	"bus"	"home"	178	"male"	14	10	175	10
"pocket"	28	"motor"	"dairy"	165	"female"	12	8	156	20
"parent"	18	"walk"	"home"	174	"male"	15	10	150	10
"pocket"	25	"bus"	"home"	169	"female"	13	9	84	20
"parent"	23	"walk"	"home"	155	"female"	11	7	139	10
"parent"	22	"bike"	"home"	165	"male"	14	10	170	10
"parent"	24	"bus"	"home"	154	"male"	10	5	156	3
"parent"	30	"other"	"tuckshop"	200	"male"	15	10	135	56
"parent"	21	"walk"	"home"	161	"female"	13	9	159	10
"parent"	25	"motor"	"home"	178	"female"	14	9	180	20
"pocket"	24	"bike"	"home"	180	"male"	14	10	190	10
"job"	24	"walk"	"home"	152	"female"	12	8	159	10
"parent"	26	"motor"	"home"	162	"female"	13	9	162	20
"pocket"	28	"bus"	"home"	165	"female"	14	9	165	10
"other"	22	"motor"	"home"	149	"female"	12	8	150	20
"parent"	25	"walk"	"home"	166	"female"	12	8	155	10
"parent"	20	"motor"	"home"	131	"female"	10	6	131	60
"pocket"	25	"bus"	"home"	179	"male"	14	9	178	0
"pocket"	18	"walk"	"home"	153	"female"	12	8	153	20
"parent"	20	"motor"	"home"	150	"male"	13	8	149	5
"pocket"	26	"motor"	"home"	164	"male"	13	9	90	20
"pocket"	26	"motor"	"none"	165	"female"	12	8	165	2
"parent"	24	"walk"	"home"	175	"female"	13	9	169	40
"pocket"	25	"bus"	"tuckshop"	165	"male"	13	9	170	10
"parent"	24	"bus"	"dairy"	155	"male"	11	7	150	100
"parent"	25	"bus"	"home"	160	"male"	13	8	71	20
"parent"	21	"motor"	"home"	136	"female"	9	5	140	10
"parent"	31	"walk"	"home"	164	"male"	14	10	158	10
"parent"	24	"walk"	"tuckshop"	170	"female"	15	10	170	0
"parent"	27	"bus"	"tuckshop"	164	"male"	13	9	160	2
"parent"	21	"bus"	"home"	166	"female"	14	10	166	20
"parent"	25	"motor"	"home"	160	"female"	12	8	164	20
"job"	25	"bus"	"tuckshop"	154	"female"	13	9	156	20
"other"	35	"other"	"none"	120	"male"	19	4	145	0
"job"	24	"other"	"home"	152	"male"	13	8	153	10
"pocket"	21	"bus"	"none"	143	"female"	13	8	141	20
"pocket"	10	"motor"	"home"	181	"male"	15	10	171	30
"parent"	24	"walk"	"home"	170	"female"	13	8	151	20
"parent"	25	"motor"	"home"	160	"male"	14	9	155	10
"other"	25	"motor"	"dairy"	165	"male"	14	9	175	40
"pocket"	23	"motor"	"tuckshop"	164	"female"	14	9	164	30
"pocket"	27	"walk"	"home"	171	"male"	14	10	176	10
"pocket"	25	"motor"	"home"	154	"male"	12	8	149	10
"parent"	26	"train"	"home"	167	"female"	13	9	171	10
"pocket"	22	"bus"	"home"	169	"female"	15	11	169	20
"pocket"	20	"bus"	"home"	160	"female"	11	7	160	20
"parent"	23	"walk"	"dairy"	164	"female"	13	8	165	40
"parent"	25	"motor"	"dairy"	160	"female"	11	7	190	10
"parent"	24	"walk"	"school"	170	"female"	14	10	174	6
"pocket"	25	"walk"	"home"	156	"male"	12	8	148	0
"pocket"	25	"walk"	"school"	164	"female"	12	8	161	10
"parent"	19	"bus"	"home"	152	"female"	12	8	149	10
"pocket"	19	"walk"	"home"	154	"male"	12	8	158	0
"other"	30	"walk"	"home"	176	"male"	13	9	185	0
"parent"	24	"motor"	"tuckshop"	149	"male"	11	7	140	0
"job"	23	"bus"	"home"	146	"female"	11	6	145	10
"other"	26	"motor"	"home"	165	"female"	16	11	166	30
"pocket"	20	"motor"	"home"	141	"male"	11	7	141	10
"parent"	22	"bus"	"home"	161	"female"	15	10	156	40
"parent"	23	"bus"	"home"	155	"female"	14	9	156	20
"pocket"	24	"walk"	"tuckshop"	174	"male"	12	8	173	10
"parent"	24	"motor"	"dairy"	168	"female"	13	9	160	20
"pocket"	22	"bus"	"home"	157	"female"	13	9	157	20
"parent"	22	"motor"	"home"	165	"female"	13	8	166	20
"parent"	26	"bus"	"home"	164	"male"	13	9	151	10
"job"	24	"bike"	"home"	163	"male"	14	9	168	10
"other"	27	"bus"	"friend"	170	"male"	14	9	181	50
"parent"	22	"motor"	"home"	148	"male"	12	8	153	2
